id_contrato,id_inadimplencia,status_contrato,data da criação,tipo_inadimplencia,tipo_reincidencia_inadimplencia,valor_comunicado_inadimplencia,status_inadimplencia,id_imobiliaria,valor_indenizado,responsavel_inadimplencia,data_de_provisionamento,data_de_indenizacao_paga,biometria
1339916,2583746,Cobrança,1/3/2025,Inadimplência,3. Saída,"R$ 7.118,34",Devedor,3551,"R$ 7.903,73",1255,2/7/2025,2/7/2025,sem biometria
529184,2684959,Cobrança,1/5/2025,Inadimplência,2. Segunda,"R$ 697,43",Devedor,3551,"R$ 781,12",2480,3/10/2025,3/10/2025,sem biometria
1751239,2588503,Cobrança,1/10/2025,Inadimplência,1. Primeira,"R$ 763,29",Devedor,3551,"R$ 850,81",1526,2/26/2025,2/26/2025,sem biometria
529184,2603609,Cobrança,1/20/2025,Inadimplência,2. Segunda,"R$ 1.265,65",Concluido,3551,"R$ 1.396,86",2480,2/3/2025,2/3/2025,sem biometria
1374567,2626450,Cobrança,1/30/2025,Inadimplência,3. Saída,"R$ 11.308,19",Devedor,3551,"R$ 12.529,47",1507,2/26/2025,2/26/2025,sem biometria
2175571,2682026,Cobrança,1/30/2025,Inadimplência,3. Saída,"R$ 4.233,33",Devedor,3551,"R$ 4.233,33",2843,3/27/2025,3/27/2025,sem biometria
2175571,2682027,Cobrança,1/30/2025,Inadimplência,3. Saída,"R$ 426,66",Devedor,3551,"R$ 477,29",2843,3/27/2025,3/27/2025,sem biometria
529184,2684963,Cobrança,2/5/2025,Inadimplência,2. Segunda,"R$ 671,40",Devedor,3551,"R$ 747,27",2480,3/13/2025,3/13/2025,sem biometria
1751239,2667342,Cobrança,2/10/2025,Inadimplência,1. Primeira,"R$ 925,79",Devedor,3551,"R$ 1.027,01",1526,3/7/2025,3/7/2025,sem biometria
529184,2676801,Cobrança,2/20/2025,Inadimplência,2. Segunda,"R$ 1.349,47",Concluido,3551,"R$ 1.495,21",2480,3/13/2025,3/13/2025,sem biometria
1929764,2676891,Cobrança,2/20/2025,Inadimplência,2. Segunda,"R$ 1.224,29",Concluido,3551,"R$ 1.354,06",1844,3/10/2025,3/10/2025,sem biometria
2216673,2676847,,2/20/2025,Inadimplência,1. Primeira,"R$ 483,29",Concluido,3551,"R$ 539,51",2481,4/8/2025,4/8/2025,SUCESSO
1640448,2704913,Cobrança,2/21/2025,Inadimplência,3. Saída,"R$ 13.216,96",Devedor,3551,"R$ 14.745,72",2807,4/7/2025,4/7/2025,sem biometria
1640448,2746455,Cobrança,2/21/2025,Inadimplência,3. Saída,"R$ 10.833,16",Devedor,3551,"R$ 10.833,16",2807,4/7/2025,4/7/2025,sem biometria
1640448,2746459,Cobrança,2/21/2025,Inadimplência,3. Saída,"R$ 1.166,84",Devedor,3551,"R$ 1.166,84",2807,4/7/2025,4/7/2025,sem biometria
529184,2720964,Cobrança,3/5/2025,Inadimplência,2. Segunda,"R$ 904,52",Devedor,3551,"R$ 999,80",2480,3/21/2025,3/21/2025,sem biometria
2181550,2710874,Cobrança,3/5/2025,Inadimplência,1. Primeira,"R$ 1.537,29",Devedor,3551,"R$ 1.715,10",2882,4/22/2025,4/22/2025,SUCESSO
